bin,center,value,error
1,680.25,5,2.23607
2,680.75,7,2.64575
3,681.25,1,1
4,681.75,8,2.82843
5,682.25,3,1.73205
6,682.75,3,1.73205
7,683.25,2,1.41421
8,683.75,6,2.44949
9,684.25,6,2.44949
10,684.75,4,2
11,685.25,7,2.64575
12,685.75,7,2.64575
13,686.25,6,2.44949
14,686.75,6,2.44949
15,687.25,4,2
16,687.75,5,2.23607
17,688.25,11,3.31662
18,688.75,7,2.64575
19,689.25,4,2
20,689.75,2,1.41421
21,690.25,9,3
22,690.75,8,2.82843
23,691.25,3,1.73205
24,691.75,5,2.23607
25,692.25,5,2.23607
26,692.75,12,3.4641
27,693.25,9,3
28,693.75,5,2.23607
29,694.25,9,3
30,694.75,14,3.74166
31,695.25,4,2
32,695.75,5,2.23607
33,696.25,11,3.31662
34,696.75,7,2.64575
35,697.25,10,3.16228
36,697.75,7,2.64575
37,698.25,15,3.87298
38,698.75,4,2
39,699.25,21,4.58258
40,699.75,5,2.23607
41,700.25,13,3.60555
42,700.75,9,3
43,701.25,12,3.4641
44,701.75,10,3.16228
45,702.25,13,3.60555
46,702.75,14,3.74166
47,703.25,16,4
48,703.75,11,3.31662
49,704.25,11,3.31662
50,704.75,16,4
51,705.25,13,3.60555
52,705.75,15,3.87298
53,706.25,15,3.87298
54,706.75,21,4.58258
55,707.25,22,4.69042
56,707.75,15,3.87298
57,708.25,36,6
58,708.75,38,6.16441
59,709.25,25,5
60,709.75,44,6.63325
61,710.25,59,7.68115
62,710.75,83,9.11043
63,711.25,83,9.11043
64,711.75,134,11.5758
65,712.25,182,13.4907
66,712.75,284,16.8523
67,713.25,359,18.9473
68,713.75,466,21.587
69,714.25,714,26.7208
70,714.75,854,29.2233
71,715.25,1188,34.4674
72,715.75,1415,37.6165
73,716.25,1796,42.3792
74,716.75,2142,46.2817
75,717.25,2412,49.1121
76,717.75,2902,53.8702
77,718.25,3076,55.4617
78,718.75,3571,59.7578
79,719.25,4043,63.5846
80,719.75,4458,66.7683
81,720.25,4939,70.278
82,720.75,5077,71.2531
83,721.25,5630,75.0333
84,721.75,6135,78.3262
85,722.25,6399,79.9937
86,722.75,6811,82.5288
87,723.25,7165,84.6463
88,723.75,7447,86.296
89,724.25,7727,87.9034
90,724.75,8204,90.5759
91,725.25,8064,89.7998
92,725.75,8473,92.0489
93,726.25,8727,93.4184
94,726.75,8923,94.4616
95,727.25,9252,96.1873
96,727.75,9097,95.3782
97,728.25,9328,96.5816
98,728.75,9442,97.17
99,729.25,9730,98.6408
100,729.75,9706,98.519
101,730.25,9660,98.2853
102,730.75,9742,98.7016
103,731.25,9959,99.7948
104,731.75,9888,99.4384
105,732.25,9743,98.7066
106,732.75,9805,99.0202
107,733.25,9724,98.6103
108,733.75,9794,98.9646
109,734.25,9567,97.811
110,734.75,9820,99.0959
111,735.25,9696,98.4683
112,735.75,9514,97.5397
113,736.25,9629,98.1275
114,736.75,9552,97.7343
115,737.25,9600,97.9796
116,737.75,9287,96.3691
117,738.25,9272,96.2912
118,738.75,9259,96.2237
119,739.25,9006,94.8999
120,739.75,8926,94.4775
121,740.25,8872,94.1913
122,740.75,8676,93.145
123,741.25,8344,91.3455
124,741.75,8166,90.3659
125,742.25,7887,88.8088
126,742.75,7609,87.2296
127,743.25,7362,85.8021
128,743.75,7160,84.6168
129,744.25,6843,82.7224
130,744.75,6293,79.3284
131,745.25,6070,77.9102
132,745.75,5690,75.4321
133,746.25,5297,72.7805
134,746.75,4990,70.6399
135,747.25,4666,68.3081
136,747.75,4328,65.7875
137,748.25,3911,62.538
138,748.75,3645,60.3738
139,749.25,3490,59.0762
140,749.75,2891,53.768
141,750.25,2692,51.8845
142,750.75,2437,49.366
143,751.25,2290,47.8539
144,751.75,1968,44.3621
145,752.25,1753,41.8688
146,752.75,1604,40.05
147,753.25,1425,37.7492
148,753.75,1278,35.7491
149,754.25,1105,33.2415
150,754.75,986,31.4006
151,755.25,896,29.9333
152,755.75,801,28.3019
153,756.25,710,26.6458
154,756.75,611,24.7184
155,757.25,645,25.3969
156,757.75,516,22.7156
157,758.25,453,21.2838
158,758.75,411,20.2731
159,759.25,359,18.9473
160,759.75,346,18.6011
161,760.25,341,18.4662
162,760.75,288,16.9706
163,761.25,262,16.1864
164,761.75,250,15.8114
165,762.25,232,15.2315
166,762.75,189,13.7477
167,763.25,186,13.6382
168,763.75,182,13.4907
169,764.25,183,13.5277
170,764.75,132,11.4891
171,765.25,156,12.49
172,765.75,138,11.7473
173,766.25,112,10.583
174,766.75,126,11.225
175,767.25,110,10.4881
176,767.75,113,10.6301
177,768.25,99,9.94987
178,768.75,86,9.27362
179,769.25,72,8.48528
180,769.75,61,7.81025
181,770.25,99,9.94987
182,770.75,59,7.68115
183,771.25,70,8.3666
184,771.75,53,7.28011
185,772.25,55,7.4162
186,772.75,46,6.78233
187,773.25,42,6.48074
188,773.75,46,6.78233
189,774.25,26,5.09902
190,774.75,44,6.63325
191,775.25,39,6.245
192,775.75,29,5.38516
193,776.25,35,5.91608
194,776.75,39,6.245
195,777.25,26,5.09902
196,777.75,29,5.38516
197,778.25,27,5.19615
198,778.75,33,5.74456
199,779.25,27,5.19615
200,779.75,21,4.58258
