board,channel,Q1,Q1_err,pxt,pxt_err,chi2,ndf,status
0,0,13.1669,0.0484995,0.331748,0.00637056,535.199,204,0
0,1,12.9989,0.0664879,0.321992,0.00713332,628.201,182,0
0,2,13.3242,0.0687043,0.251657,0.00593796,1101.87,168,0
0,3,13.5411,0.0505795,0.286504,0.0054989,1247.97,168,0
0,4,13.0425,0.0621061,0.279989,0.00622081,719.473,151,0
0,5,12.8884,0.0627342,0.435412,0.0091405,624.464,216,0
0,6,12.7476,0.0610115,0.338366,0.00743466,481.371,205,0
0,7,13.1252,0.0450045,0.327393,0.0060602,566.086,191,0
0,8,13.6492,0.0558565,0.333171,0.00603411,1615.12,170,0
0,9,13.1321,0.0523967,0.275227,0.00600701,854.773,150,0
0,10,12.8435,0.0644181,0.31886,0.0073404,582.923,199,0
0,11,12.7835,0.0585477,0.35108,0.00718023,498.926,203,0
0,12,12.9749,0.064939,0.366202,0.00752117,495.308,197,0
0,13,12.3869,0.0648592,0.326657,0.00761061,459.56,189,0
0,14,12.6074,0.0758514,0.339203,0.00799592,516.077,205,0
0,15,12.7247,0.0730542,0.322128,0.00694734,637.698,188,0
1,0,13.6354,0.0507261,0.366468,0.00661556,605.027,226,0
1,1,13.34,0.076543,0.347278,0.00776572,598.76,207,0
1,2,13.4729,0.0788356,0.323411,0.00755732,554.622,192,0
1,3,13.4011,0.0496495,0.332228,0.00619924,673.656,202,0
1,4,14.0001,0.0597005,0.307917,0.006273,873.554,189,0
1,5,14.2137,0.0789151,0.443581,0.00972524,741.134,264,0
1,6,13.7911,0.0651946,0.389242,0.00796775,651.228,252,0
1,7,13.5098,0.0514569,0.351969,0.00672428,640.516,235,0
1,8,13.5833,0.05501,0.34528,0.00680688,565.515,211,0
1,9,13.6353,0.05256,0.342976,0.00641122,580.097,204,0
1,10,13.5482,0.0567201,0.357036,0.00748361,605.035,240,0
1,11,13.3475,0.0623256,0.369341,0.00806289,523.697,235,0
1,12,13.3153,0.0751702,0.390283,0.00836751,655.15,222,0
1,13,13.2973,0.0678366,0.377968,0.00801886,690.845,226,0
1,14,13.1001,0.0726133,0.350896,0.00796163,599.045,218,0
1,15,13.4685,0.0632628,0.37208,0.00735226,720.166,212,0
2,0,13.9268,0.0482377,0.386598,0.00708357,821.085,252,0
2,1,13.017,0.0622685,0.358975,0.00796132,494.072,228,0
2,2,13.1623,0.0518585,0.320849,0.00652517,543.686,197,0
2,3,13.5236,0.0419638,0.335013,0.00595887,559.46,211,0
2,4,13.6847,0.0456624,0.331633,0.00595403,642.825,195,0
2,5,13.1355,0.0620452,0.251849,0.00579224,660.371,147,0
2,6,13.0106,0.0393398,0.342176,0.00648482,522.178,235,0
2,7,13.3478,0.0426205,0.351005,0.00642783,464.557,222,0
2,8,13.5093,0.0431191,0.372602,0.00654483,564.169,231,0
2,9,12.7762,0.0441596,0.286736,0.0060411,407.262,188,0
2,10,13.6893,0.048365,0.357913,0.00675513,567.375,242,0
2,11,11.3736,0.0768981,0.242411,0.0103302,381.926,199,0
2,12,13.392,0.062767,0.459083,0.00880918,747.256,241,0
2,13,13.6158,0.0669892,0.392817,0.00820907,747.138,244,0
2,14,13.1619,0.0629085,0.343,0.00731402,614.637,218,0
2,15,13.0371,0.0608008,0.331322,0.00694667,590.329,194,0
3,0,12.9253,0.0541429,0.3018,0.00723406,510.596,239,0
3,1,12.9159,0.0828843,0.328405,0.00989083,517.058,238,0
3,2,12.671,0.0693177,0.309314,0.00768863,427.942,201,0
3,3,12.9004,0.0501813,0.342953,0.00671673,455.642,211,0
3,4,12.478,0.0496777,0.272014,0.00625409,426.201,176,0
3,5,12.9298,0.0926749,0.229961,0.00735118,553.284,144,0
3,6,12.2575,0.0773663,0.305137,0.0109234,431.058,223,0
3,7,12.7064,0.0572212,0.297245,0.00673504,434.469,193,0
3,8,12.6937,0.0552994,0.281097,0.0065914,446.132,190,0
3,9,12.5648,0.0521837,0.277115,0.00621859,501.379,167,0
3,10,11.8003,0.0705634,0.268038,0.00796968,333.356,177,0
3,11,12.7771,0.0588237,0.312235,0.00711646,485.196,202,0
3,12,11.7572,0.0922919,0.294439,0.00917397,340.183,183,0
3,13,11.585,0.0930231,0.282466,0.00939064,309.436,190,0
3,14,11.7102,0.0897664,0.285328,0.00876566,341.139,176,0
3,15,11.8828,0.0910232,0.271522,0.00830693,334.345,173,0
