board,channel,HV,Q1,Q1_err,pxt,pxt_err,chi2,ndf,status
0,1,56,9.6,0.0306682,0.213976,0.00780064,200.061,142,0
0,1,57,11.8473,0.0795088,0.325252,0.00875315,402.842,193,0
0,1,58,14.7718,0.0940142,0.447855,0.0105679,1201.24,255,0
1,1,56,10.1264,0.0696407,0.190316,0.00645364,285.621,114,0
1,1,57,12.226,0.051274,0.310135,0.00623979,577.715,159,0
1,1,58,14.4674,0.044606,0.488195,0.00645788,1443.29,249,0
2,1,56,10.1785,0.0561035,0.230115,0.00706491,171.071,135,0
2,1,57,12.4002,0.0455986,0.345708,0.00644227,567.41,194,0
2,1,58,14.8973,0.0440461,0.536071,0.00676278,1540.4,267,0
3,1,56,9.6,0.0158388,0.158632,0.00692363,166.85,127,0
3,1,57,11.4411,0.0501476,0.269893,0.00653349,360.644,170,0
3,1,58,13.646,0.0477764,0.394817,0.00689995,838.999,255,0
