board,channel,Q1,Q1_err,pxt,pxt_err,chi2,ndf,status
0,0,13.3,0.0100294,0.374543,0.00516416,388.369,197,0
0,1,12.6,0.00705847,0.442495,0.0070493,425.203,172,0
0,2,13.3637,0.0618372,0.324232,0.00669551,935.324,153,0
0,3,13.5991,0.0516479,0.34152,0.00757857,1054.06,151,0
0,4,13.2008,0.0692111,0.370108,0.00762353,603.995,146,0
0,5,12.8827,0.0669458,0.476458,0.00886663,440.922,209,0
0,6,12.6,0.0113997,0.402855,0.00592204,303.22,198,0
0,7,13.1273,0.0462288,0.392436,0.006808,428.134,184,0
0,8,13.5867,0.0533035,0.367933,0.00668117,1107.23,153,0
0,9,12.6,0.00311275,0.394551,0.00647703,817.187,140,0
0,10,12.8619,0.0656087,0.378092,0.00808745,403.294,190,0
0,11,12.786,0.0581263,0.403078,0.00773362,334.821,199,0
0,12,12.9951,0.0681321,0.429834,0.00843864,313.152,193,0
0,13,12.3733,0.0675122,0.372538,0.00837118,316.557,185,0
0,14,12.5979,0.819105,0.392919,0.00879512,342.144,198,0
0,15,12.6,0.0163689,0.404521,0.00650442,438.031,181,0
1,0,13.65,0.051121,0.428088,0.00720587,386.613,222,0
1,1,13.3311,0.0752426,0.400147,0.00873501,427.274,203,0
1,2,13.4932,0.0834559,0.398463,0.00887028,362.002,187,0
1,3,13.4204,0.0503444,0.397077,0.00688754,493.144,198,0
1,4,14.121,0.0655849,0.393682,0.00736846,690.343,179,0
1,5,14.1402,0.0658492,0.480915,0.00759572,585.889,255,0
1,6,13.799,0.0656571,0.426652,0.00864191,518.952,245,0
1,7,13.5077,0.0526534,0.398245,0.0074316,498.777,229,0
1,8,13.5866,0.0561292,0.406863,0.00746301,354.223,207,0
1,9,13.6825,0.0548611,0.420423,0.00733112,377.419,199,0
1,10,13.5579,0.0544696,0.399412,0.00707841,434.762,234,0
1,11,13.3556,0.0590781,0.404262,0.00838535,371.855,229,0
1,12,13.328,0.0735166,0.454009,0.00928798,420.126,218,0
1,13,13.315,0.0697614,0.425173,0.00887351,481.396,220,0
1,14,13.1028,0.073746,0.397802,0.00875742,407.166,213,0
1,15,13.65,0.0132548,0.435049,0.00573047,453.593,207,0
2,0,13.65,0.00391795,0.444399,0.00565436,709.575,241,0
2,1,12.6,0.00567388,0.439158,0.00559703,422.542,220,0
2,2,13.1759,0.0535039,0.381046,0.00729328,335.567,193,0
2,3,13.539,0.0425151,0.393306,0.00648794,377.246,206,0
2,4,13.65,0.0160343,0.414221,0.0055287,407.578,190,0
2,5,13.3265,0.0649719,0.344037,0.00699622,511.45,140,0
2,6,13.0177,0.0399195,0.3688,0.00684215,411.967,226,0
2,7,13.3503,0.0435199,0.403394,0.00698357,312.33,218,0
2,8,13.5105,0.0442866,0.423464,0.00717581,389.832,226,0
2,9,12.6,0.00524822,0.36123,0.00565271,258.597,182,0
2,10,13.7003,0.0496857,0.394658,0.00736272,419.151,235,0
2,11,10.5,0.00824277,0.39434,0.00555111,924.081,191,0
2,12,13.4014,0.0652393,0.512426,0.00943054,519.266,234,0
2,13,13.6271,0.0648816,0.433711,0.00791591,568.934,238,0
2,14,13.1582,0.0650083,0.392293,0.00810257,421.675,214,0
2,15,12.6,0.00627446,0.428969,0.0062349,387.777,190,0
3,0,13.3,0.0060583,0.280148,0.00490789,498.957,232,0
3,1,12.9747,0.0864816,0.336548,0.0101049,441.391,230,0
3,2,12.5929,0.140058,0.361217,0.00725976,334.404,196,0
3,3,12.9154,0.0510039,0.38495,0.0073862,319.917,206,0
3,4,12.5041,0.0516331,0.328816,0.00710076,257.508,172,0
3,5,11.55,0.0040098,0.381207,0.00620289,744.116,131,0
3,6,12.3137,0.0787986,0.310116,0.00863056,371.104,215,0
3,7,12.6,0.0163432,0.34759,0.00540008,363.141,188,0
3,8,12.6,0.0144671,0.335457,0.00540577,306.785,186,0
3,9,12.5818,0.0545502,0.329137,0.00713528,364.615,161,0
3,10,11.8007,0.0763597,0.303145,0.00942025,251.281,173,0
3,11,12.7943,0.0605018,0.351247,0.0078015,334.041,198,0
3,12,11.55,0.0307131,0.348955,0.00840736,231.911,179,0
3,13,10.5,0.0068197,0.446358,0.00602493,553.72,181,0
3,14,11.55,0.0278774,0.343823,0.00536443,227.515,172,0
3,15,11.9257,0.087385,0.319884,0.00941393,222.57,168,0
