board,channel,HV,Q1,Q1_err,pxt,pxt_err,chi2,ndf,status
0,1,56,11.4,0.00394564,0.0925226,0.00345666,431.265,138,0
0,1,57,11.55,0.0206825,0.481384,0.00783105,293.464,188,0
0,1,58,13.65,0.00255713,0.702516,0.00906559,942.055,244,0
1,1,56,10.2654,0.0735267,0.269594,0.00872874,176.002,110,0
1,1,57,12.3808,0.0541779,0.435939,0.00764323,329.992,154,0
1,1,58,14.5191,0.0441812,0.635734,0.00761452,966.377,243,0
2,1,56,10.1164,0.0535921,0.304776,0.00730229,175.713,131,0
2,1,57,12.4183,0.04632,0.428966,0.00729107,318.145,188,0
2,1,58,14.7,0.0049762,0.648862,0.00669595,1119.53,258,0
3,1,56,9.3291,0.109884,0.191288,0.010379,137.445,123,0
3,1,57,11.4813,0.0545551,0.324547,0.00785117,254.155,166,0
3,1,58,13.6734,0.0482828,0.453045,0.00766321,607.436,246,0
