x,Curve1
-20.562,71.661
-12.067,71.829
-4.208,71.894
0.956,72.187
3.796,71.317
6.184,67.667
8.084,59.422
9.376,52.57
10.343,45.292
11.183,39.619
12.158,32.769
12.747,26.456
13.297,22.175
14.269,19.175
15.574,16.922
17.368,19.372
19.631,29.414
22.227,48.223
23.696,58.269
25.173,68.742
26.33,75.046
27.284,79.105
28.321,83.378
29.491,86.366
30.692,86.895
32.404,85.174
34.563,81.954
36.09,78.951
38.772,74.124
40.465,71.441
42.471,68.543
44.252,66.287
45.976,65.209
48.606,65.729
51.194,68.175
53.951,71.155
59.518,75.725
62.242,76.993
66.886,75.043
72.664,74.264
79.883,74.118
88.775,74.285
97.033,74.454
150,74.454
