bin,center,value,error
1,772.25,0,0
2,772.75,1,1
3,773.25,0,0
4,773.75,0,0
5,774.25,1,1
6,774.75,0,0
7,775.25,0,0
8,775.75,0,0
9,776.25,0,0
10,776.75,2,1.41421
11,777.25,1,1
12,777.75,1,1
13,778.25,0,0
14,778.75,0,0
15,779.25,0,0
16,779.75,0,0
17,780.25,1,1
18,780.75,0,0
19,781.25,2,1.41421
20,781.75,0,0
21,782.25,1,1
22,782.75,0,0
23,783.25,0,0
24,783.75,0,0
25,784.25,0,0
26,784.75,0,0
27,785.25,0,0
28,785.75,1,1
29,786.25,1,1
30,786.75,0,0
31,787.25,1,1
32,787.75,0,0
33,788.25,0,0
34,788.75,1,1
35,789.25,1,1
36,789.75,1,1
37,790.25,0,0
38,790.75,2,1.41421
39,791.25,0,0
40,791.75,1,1
41,792.25,0,0
42,792.75,0,0
43,793.25,0,0
44,793.75,1,1
45,794.25,1,1
46,794.75,1,1
47,795.25,2,1.41421
48,795.75,1,1
49,796.25,2,1.41421
50,796.75,2,1.41421
51,797.25,1,1
52,797.75,1,1
53,798.25,2,1.41421
54,798.75,0,0
55,799.25,0,0
56,799.75,3,1.73205
57,800.25,0,0
58,800.75,2,1.41421
59,801.25,0,0
60,801.75,1,1
61,802.25,1,1
62,802.75,3,1.73205
63,803.25,0,0
64,803.75,1,1
65,804.25,0,0
66,804.75,1,1
67,805.25,2,1.41421
68,805.75,0,0
69,806.25,0,0
70,806.75,0,0
71,807.25,1,1
72,807.75,0,0
73,808.25,2,1.41421
74,808.75,2,1.41421
75,809.25,2,1.41421
76,809.75,3,1.73205
77,810.25,1,1
78,810.75,1,1
79,811.25,1,1
80,811.75,2,1.41421
81,812.25,5,2.23607
82,812.75,3,1.73205
83,813.25,6,2.44949
84,813.75,7,2.64575
85,814.25,5,2.23607
86,814.75,5,2.23607
87,815.25,7,2.64575
88,815.75,16,4
89,816.25,16,4
90,816.75,32,5.65685
91,817.25,33,5.74456
92,817.75,56,7.48331
93,818.25,80,8.94427
94,818.75,78,8.83176
95,819.25,82,9.05539
96,819.75,124,11.1355
97,820.25,152,12.3288
98,820.75,176,13.2665
99,821.25,205,14.3178
100,821.75,228,15.0997
101,822.25,268,16.3707
102,822.75,261,16.1555
103,823.25,300,17.3205
104,823.75,362,19.0263
105,824.25,375,19.3649
106,824.75,456,21.3542
107,825.25,441,21
108,825.75,473,21.7486
109,826.25,573,23.9374
110,826.75,567,23.8118
111,827.25,571,23.8956
112,827.75,650,25.4951
113,828.25,632,25.1396
114,828.75,671,25.9037
115,829.25,717,26.7769
116,829.75,691,26.2869
117,830.25,750,27.3861
118,830.75,746,27.313
119,831.25,738,27.1662
120,831.75,796,28.2135
121,832.25,823,28.688
122,832.75,816,28.5657
123,833.25,858,29.2916
124,833.75,759,27.55
125,834.25,809,28.4429
126,834.75,827,28.7576
127,835.25,837,28.931
128,835.75,884,29.7321
129,836.25,876,29.5973
130,836.75,882,29.6985
131,837.25,849,29.1376
132,837.75,917,30.282
133,838.25,902,30.0333
134,838.75,894,29.8998
135,839.25,921,30.348
136,839.75,905,30.0832
137,840.25,856,29.2575
138,840.75,892,29.8664
139,841.25,876,29.5973
140,841.75,841,29
141,842.25,854,29.2233
142,842.75,879,29.6479
143,843.25,904,30.0666
144,843.75,856,29.2575
145,844.25,896,29.9333
146,844.75,865,29.4109
147,845.25,873,29.5466
148,845.75,847,29.1033
149,846.25,838,28.9482
150,846.75,839,28.9655
151,847.25,808,28.4253
152,847.75,828,28.775
153,848.25,794,28.178
154,848.75,781,27.9464
155,849.25,803,28.3373
156,849.75,718,26.7955
157,850.25,699,26.4386
158,850.75,734,27.0924
159,851.25,665,25.7876
160,851.75,656,25.6125
161,852.25,601,24.5153
162,852.75,600,24.4949
163,853.25,566,23.7908
164,853.75,515,22.6936
165,854.25,533,23.0868
166,854.75,537,23.1733
167,855.25,462,21.4942
168,855.75,427,20.664
169,856.25,434,20.8327
170,856.75,403,20.0749
171,857.25,381,19.5192
172,857.75,337,18.3576
173,858.25,316,17.7764
174,858.75,270,16.4317
175,859.25,264,16.2481
176,859.75,242,15.5563
177,860.25,213,14.5945
178,860.75,167,12.9228
179,861.25,195,13.9642
180,861.75,158,12.5698
181,862.25,150,12.2474
182,862.75,141,11.8743
183,863.25,120,10.9545
184,863.75,96,9.79796
185,864.25,120,10.9545
186,864.75,83,9.11043
187,865.25,71,8.42615
188,865.75,72,8.48528
189,866.25,57,7.54983
190,866.75,52,7.2111
191,867.25,54,7.34847
192,867.75,58,7.61577
193,868.25,55,7.4162
194,868.75,38,6.16441
195,869.25,41,6.40312
196,869.75,44,6.63325
197,870.25,35,5.91608
198,870.75,24,4.89898
199,871.25,18,4.24264
200,871.75,21,4.58258
201,872.25,20,4.47214
202,872.75,27,5.19615
203,873.25,22,4.69042
204,873.75,22,4.69042
205,874.25,13,3.60555
206,874.75,19,4.3589
207,875.25,16,4
208,875.75,28,5.2915
209,876.25,13,3.60555
210,876.75,16,4
211,877.25,11,3.31662
212,877.75,13,3.60555
213,878.25,11,3.31662
214,878.75,8,2.82843
215,879.25,13,3.60555
216,879.75,5,2.23607
217,880.25,14,3.74166
218,880.75,8,2.82843
219,881.25,8,2.82843
220,881.75,2,1.41421
221,882.25,13,3.60555
222,882.75,3,1.73205
223,883.25,4,2
224,883.75,6,2.44949
225,884.25,4,2
226,884.75,2,1.41421
227,885.25,3,1.73205
228,885.75,4,2
229,886.25,2,1.41421
230,886.75,4,2
231,887.25,3,1.73205
232,887.75,1,1
233,888.25,2,1.41421
234,888.75,1,1
235,889.25,2,1.41421
236,889.75,9,3
237,890.25,3,1.73205
238,890.75,4,2
239,891.25,2,1.41421
240,891.75,2,1.41421
241,892.25,2,1.41421
242,892.75,3,1.73205
243,893.25,2,1.41421
244,893.75,2,1.41421
245,894.25,3,1.73205
246,894.75,2,1.41421
247,895.25,3,1.73205
248,895.75,1,1
249,896.25,2,1.41421
250,896.75,3,1.73205
251,897.25,3,1.73205
252,897.75,2,1.41421
253,898.25,3,1.73205
254,898.75,2,1.41421
255,899.25,3,1.73205
256,899.75,0,0
257,900.25,2,1.41421
258,900.75,2,1.41421
259,901.25,5,2.23607
260,901.75,1,1
261,902.25,2,1.41421
262,902.75,0,0
263,903.25,2,1.41421
264,903.75,5,2.23607
265,904.25,0,0
266,904.75,3,1.73205
267,905.25,0,0
268,905.75,0,0
269,906.25,0,0
270,906.75,1,1
271,907.25,0,0
272,907.75,2,1.41421
273,908.25,2,1.41421
274,908.75,3,1.73205
275,909.25,7,2.64575
276,909.75,3,1.73205
277,910.25,2,1.41421
278,910.75,1,1
279,911.25,7,2.64575
280,911.75,3,1.73205
