#pK pK_min pK_max cos_cm cos_cm_err Acceptance
724 723 725 -0.933333 0.0666667 0.775404
724 723 725 -0.8 0.0666667 0.804411
724 723 725 -0.666667 0.0666667 0.804112
724 723 725 -0.533333 0.0666667 0.817292
724 723 725 -0.4 0.0666667 0.795337
724 723 725 -0.266667 0.0666667 0.807465
724 723 725 -0.133333 0.0666667 0.785767
724 723 725 -2.77556e-17 0.0666667 0.783957
724 723 725 0.133333 0.0666667 0.784374
724 723 725 0.266667 0.0666667 0.803727
724 723 725 0.4 0.0666667 0.786732
724 723 725 0.533333 0.0666667 0.771046
724 723 725 0.666667 0.0666667 0.780318
724 723 725 0.8 0.0666667 0.770374
724 723 725 0.933333 0.0666667 0.765623
726 725 727 -0.933333 0.0666667 0.757952
726 725 727 -0.8 0.0666667 0.781444
726 725 727 -0.666667 0.0666667 0.798135
726 725 727 -0.533333 0.0666667 0.760395
726 725 727 -0.4 0.0666667 0.77648
726 725 727 -0.266667 0.0666667 0.783947
726 725 727 -0.133333 0.0666667 0.794875
726 725 727 -2.77556e-17 0.0666667 0.766132
726 725 727 0.133333 0.0666667 0.786855
726 725 727 0.266667 0.0666667 0.748223
726 725 727 0.4 0.0666667 0.745886
726 725 727 0.533333 0.0666667 0.757516
726 725 727 0.666667 0.0666667 0.741539
726 725 727 0.8 0.0666667 0.774756
726 725 727 0.933333 0.0666667 0.75175
728 727 729 -0.933333 0.0666667 0.796728
728 727 729 -0.8 0.0666667 0.807953
728 727 729 -0.666667 0.0666667 0.797434
728 727 729 -0.533333 0.0666667 0.795824
728 727 729 -0.4 0.0666667 0.794342
728 727 729 -0.266667 0.0666667 0.78417
728 727 729 -0.133333 0.0666667 0.777273
728 727 729 -2.77556e-17 0.0666667 0.805859
728 727 729 0.133333 0.0666667 0.803578
728 727 729 0.266667 0.0666667 0.772525
728 727 729 0.4 0.0666667 0.753169
728 727 729 0.533333 0.0666667 0.775848
728 727 729 0.666667 0.0666667 0.764438
728 727 729 0.8 0.0666667 0.755508
728 727 729 0.933333 0.0666667 0.740786
730 729 731 -0.933333 0.0666667 0.812612
730 729 731 -0.8 0.0666667 0.814137
730 729 731 -0.666667 0.0666667 0.7825
730 729 731 -0.533333 0.0666667 0.775213
730 729 731 -0.4 0.0666667 0.805942
730 729 731 -0.266667 0.0666667 0.807869
730 729 731 -0.133333 0.0666667 0.800277
730 729 731 -2.77556e-17 0.0666667 0.80449
730 729 731 0.133333 0.0666667 0.801522
730 729 731 0.266667 0.0666667 0.81599
730 729 731 0.4 0.0666667 0.782417
730 729 731 0.533333 0.0666667 0.775281
730 729 731 0.666667 0.0666667 0.783203
730 729 731 0.8 0.0666667 0.772874
730 729 731 0.933333 0.0666667 0.767383
732 731 733 -0.933333 0.0666667 0.814493
732 731 733 -0.8 0.0666667 0.797118
732 731 733 -0.666667 0.0666667 0.804432
732 731 733 -0.533333 0.0666667 0.770711
732 731 733 -0.4 0.0666667 0.791703
