#pK pK_min pK_max cos_cm cos_cm_err Acceptance
724 723 725 -0.933333 0.0666667 0.760518
724 723 725 -0.8 0.0666667 0.820686
724 723 725 -0.666667 0.0666667 0.795443
724 723 725 -0.533333 0.0666667 0.817464
724 723 725 -0.4 0.0666667 0.792043
724 723 725 -0.266667 0.0666667 0.808056
724 723 725 -0.133333 0.0666667 0.775238
724 723 725 -2.77556e-17 0.0666667 0.7842
724 723 725 0.133333 0.0666667 0.783582
724 723 725 0.266667 0.0666667 0.781013
724 723 725 0.4 0.0666667 0.783074
724 723 725 0.533333 0.0666667 0.780797
724 723 725 0.666667 0.0666667 0.765291
724 723 725 0.8 0.0666667 0.785603
724 723 725 0.933333 0.0666667 0.766341
726 725 727 -0.933333 0.0666667 0.749417
726 725 727 -0.8 0.0666667 0.780579
726 725 727 -0.666667 0.0666667 0.786852
726 725 727 -0.533333 0.0666667 0.758621
726 725 727 -0.4 0.0666667 0.773298
726 725 727 -0.266667 0.0666667 0.771047
726 725 727 -0.133333 0.0666667 0.787822
726 725 727 -2.77556e-17 0.0666667 0.762325
726 725 727 0.133333 0.0666667 0.795386
726 725 727 0.266667 0.0666667 0.740215
726 725 727 0.4 0.0666667 0.755892
726 725 727 0.533333 0.0666667 0.770048
726 725 727 0.666667 0.0666667 0.751242
726 725 727 0.8 0.0666667 0.78841
726 725 727 0.933333 0.0666667 0.755806
728 727 729 -0.933333 0.0666667 0.788917
728 727 729 -0.8 0.0666667 0.80427
728 727 729 -0.666667 0.0666667 0.792647
728 727 729 -0.533333 0.0666667 0.804555
728 727 729 -0.4 0.0666667 0.795459
728 727 729 -0.266667 0.0666667 0.767357
728 727 729 -0.133333 0.0666667 0.782283
728 727 729 -2.77556e-17 0.0666667 0.785936
728 727 729 0.133333 0.0666667 0.804851
728 727 729 0.266667 0.0666667 0.77202
728 727 729 0.4 0.0666667 0.754022
728 727 729 0.533333 0.0666667 0.767532
728 727 729 0.666667 0.0666667 0.76616
728 727 729 0.8 0.0666667 0.747728
728 727 729 0.933333 0.0666667 0.743796
730 729 731 -0.933333 0.0666667 0.817547
730 729 731 -0.8 0.0666667 0.77958
730 729 731 -0.666667 0.0666667 0.758665
730 729 731 -0.533333 0.0666667 0.765084
730 729 731 -0.4 0.0666667 0.812053
730 729 731 -0.266667 0.0666667 0.822018
730 729 731 -0.133333 0.0666667 0.788228
730 729 731 -2.77556e-17 0.0666667 0.80599
730 729 731 0.133333 0.0666667 0.808892
730 729 731 0.266667 0.0666667 0.822374
730 729 731 0.4 0.0666667 0.771673
730 729 731 0.533333 0.0666667 0.797929
730 729 731 0.666667 0.0666667 0.810456
730 729 731 0.8 0.0666667 0.795282
730 729 731 0.933333 0.0666667 0.785247
732 731 733 -0.933333 0.0666667 0.804528
732 731 733 -0.8 0.0666667 0.772161
732 731 733 -0.666667 0.0666667 0.803912
732 731 733 -0.533333 0.0666667 0.76566
732 731 733 -0.4 0.0666667 0.775868
732 731 733 -0.266667 0.0666667 0.778223
732 731 733 -0.133333 0.0666667 0.805456
732 731 733 -2.77556e-17 0.0666667 0.75531
732 731 733 0.133333 0.0666667 0.747799
732 731 733 0.266667 0.0666667 0.792546
732 731 733 0.4 0.0666667 0.779163
732 731 733 0.533333 0.0666667 0.755456
732 731 733 0.666667 0.0666667 0.761553
732 731 733 0.8 0.0666667 0.7645
732 731 733 0.933333 0.0666667 0.745988
734 733 735 -0.933333 0.0666667 0.79589
734 733 735 -0.8 0.0666667 0.77797
734 733 735 -0.666667 0.0666667 0.774748
734 733 735 -0.533333 0.0666667 0.784136
734 733 735 -0.4 0.0666667 0.779281
734 733 735 -0.266667 0.0666667 0.791873
734 733 735 -0.133333 0.0666667 0.774149
734 733 735 -2.77556e-17 0.0666667 0.784632
734 733 735 0.133333 0.0666667 0.801111
734 733 735 0.266667 0.0666667 0.785528
734 733 735 0.4 0.0666667 0.76
734 733 735 0.533333 0.0666667 0.749257
734 733 735 0.666667 0.0666667 0.781433
734 733 735 0.8 0.0666667 0.791392
734 733 735 0.933333 0.0666667 0.787192
736 735 737 -0.933333 0.0666667 0.814735
736 735 737 -0.8 0.0666667 0.81736
736 735 737 -0.666667 0.0666667 0.766228
736 735 737 -0.533333 0.0666667 0.768127
736 735 737 -0.4 0.0666667 0.799073
736 735 737 -0.266667 0.0666667 0.796634
736 735 737 -0.133333 0.0666667 0.798854
736 735 737 -2.77556e-17 0.0666667 0.797267
736 735 737 0.133333 0.0666667 0.773305
736 735 737 0.266667 0.0666667 0.785655
736 735 737 0.4 0.0666667 0.772884
736 735 737 0.533333 0.0666667 0.766325
736 735 737 0.666667 0.0666667 0.779863
736 735 737 0.8 0.0666667 0.775129
736 735 737 0.933333 0.0666667 0.771623
738 737 739 -0.933333 0.0666667 0.799867
738 737 739 -0.8 0.0666667 0.809705
738 737 739 -0.666667 0.0666667 0.816837
738 737 739 -0.533333 0.0666667 0.810375
738 737 739 -0.4 0.0666667 0.820423
738 737 739 -0.266667 0.0666667 0.7963
738 737 739 -0.133333 0.0666667 0.800443
738 737 739 -2.77556e-17 0.0666667 0.772697
738 737 739 0.133333 0.0666667 0.774188
738 737 739 0.266667 0.0666667 0.776967
738 737 739 0.4 0.0666667 0.739685
738 737 739 0.533333 0.0666667 0.776222
738 737 739 0.666667 0.0666667 0.769038
738 737 739 0.8 0.0666667 0.764396
738 737 739 0.933333 0.0666667 0.731203
740 739 741 -0.933333 0.0666667 0.791667
740 739 741 -0.8 0.0666667 0.803137
740 739 741 -0.666667 0.0666667 0.783284
740 739 741 -0.533333 0.0666667 0.806445
740 739 741 -0.4 0.0666667 0.801202
740 739 741 -0.266667 0.0666667 0.799919
740 739 741 -0.133333 0.0666667 0.787457
740 739 741 -2.77556e-17 0.0666667 0.782173
740 739 741 0.133333 0.0666667 0.771996
740 739 741 0.266667 0.0666667 0.810655
740 739 741 0.4 0.0666667 0.727471
740 739 741 0.533333 0.0666667 0.749419
740 739 741 0.666667 0.0666667 0.727982
740 739 741 0.8 0.0666667 0.759749
740 739 741 0.933333 0.0666667 0.732982
742 741 743 -0.933333 0.0666667 0.794285
742 741 743 -0.8 0.0666667 0.816701
742 741 743 -0.666667 0.0666667 0.800184
742 741 743 -0.533333 0.0666667 0.764844
742 741 743 -0.4 0.0666667 0.782243
742 741 743 -0.266667 0.0666667 0.809843
742 741 743 -0.133333 0.0666667 0.769408
742 741 743 -2.77556e-17 0.0666667 0.778542
742 741 743 0.133333 0.0666667 0.783266
742 741 743 0.266667 0.0666667 0.77318
742 741 743 0.4 0.0666667 0.732209
742 741 743 0.533333 0.0666667 0.725892
742 741 743 0.666667 0.0666667 0.776237
742 741 743 0.8 0.0666667 0.777661
742 741 743 0.933333 0.0666667 0.751117
744 743 745 -0.933333 0.0666667 0.807087
744 743 745 -0.8 0.0666667 0.79156
744 743 745 -0.666667 0.0666667 0.8093
744 743 745 -0.533333 0.0666667 0.78976
744 743 745 -0.4 0.0666667 0.776927
744 743 745 -0.266667 0.0666667 0.75668
744 743 745 -0.133333 0.0666667 0.788096
744 743 745 -2.77556e-17 0.0666667 0.792744
744 743 745 0.133333 0.0666667 0.732101
744 743 745 0.266667 0.0666667 0.799459
744 743 745 0.4 0.0666667 0.773228
744 743 745 0.533333 0.0666667 0.730377
744 743 745 0.666667 0.0666667 0.736637
744 743 745 0.8 0.0666667 0.763022
744 743 745 0.933333 0.0666667 0.719091
746 745 747 -0.933333 0.0666667 0.78756
746 745 747 -0.8 0.0666667 0.77742
746 745 747 -0.666667 0.0666667 0.822428
746 745 747 -0.533333 0.0666667 0.807171
746 745 747 -0.4 0.0666667 0.788596
746 745 747 -0.266667 0.0666667 0.778525
746 745 747 -0.133333 0.0666667 0.77919
746 745 747 -2.77556e-17 0.0666667 0.775467
746 745 747 0.133333 0.0666667 0.769985
746 745 747 0.266667 0.0666667 0.805197
746 745 747 0.4 0.0666667 0.780215
746 745 747 0.533333 0.0666667 0.798895
746 745 747 0.666667 0.0666667 0.771353
746 745 747 0.8 0.0666667 0.730712
746 745 747 0.933333 0.0666667 0.716953
748 747 749 -0.933333 0.0666667 0.785239
748 747 749 -0.8 0.0666667 0.829872
748 747 749 -0.666667 0.0666667 0.777858
748 747 749 -0.533333 0.0666667 0.806112
748 747 749 -0.4 0.0666667 0.807467
748 747 749 -0.266667 0.0666667 0.780061
748 747 749 -0.133333 0.0666667 0.774605
748 747 749 -2.77556e-17 0.0666667 0.771302
748 747 749 0.133333 0.0666667 0.763629
748 747 749 0.266667 0.0666667 0.794044
748 747 749 0.4 0.0666667 0.777778
748 747 749 0.533333 0.0666667 0.746551
748 747 749 0.666667 0.0666667 0.732296
748 747 749 0.8 0.0666667 0.726905
748 747 749 0.933333 0.0666667 0.757506
750 749 751 -0.933333 0.0666667 0.771096
750 749 751 -0.8 0.0666667 0.780749
750 749 751 -0.666667 0.0666667 0.806641
750 749 751 -0.533333 0.0666667 0.832206
