#pK pK_min pK_max Entry
724 723 725 815.604
726 725 727 1601.03
728 727 729 2339.05
730 729 731 2964.29
732 731 733 3473.2
734 733 735 3880.67
736 735 737 3957.18
738 737 739 3682.52
740 739 741 3245.08
742 741 743 2667.49
744 743 745 2007.74
746 745 747 1408.51
748 747 749 982.177
750 749 751 730.386
752 751 753 614.779
754 753 755 562.023
756 755 757 538.158
758 757 759 535.721
760 759 761 529.527
762 761 763 529.263
764 763 765 553.495
766 765 767 554.646
768 767 769 487.798
770 769 771 399.298
