#pK pK_min pK_max Luminosity
724 723 725 6911.71
726 725 727 7295.7
728 727 729 7490.27
730 729 731 7518.43
732 731 733 7373.85
734 733 735 7043.1
736 735 737 6482.67
738 737 739 5692.87
740 739 741 4758.51
742 741 743 3771.37
744 743 745 2819.81
746 745 747 2019.89
748 747 749 1477.82
750 749 751 1159.04
752 751 753 997.079
754 753 755 914.358
756 755 757 876.457
758 757 759 897.959
760 759 761 971.815
762 761 763 1060.1
764 763 765 1119.67
766 765 767 1138.07
768 767 769 1114.66
770 769 771 1058.48
